era_index,era_start_height,era_end_height,era_block_count,reward_units_per_block,reward_coin_per_block,max_era_subsidy_units,max_era_subsidy_coin
0,1,500000,500000,4000000,0.04000000,2000000000000,20000.00000000
1,500001,1000000,500000,3600000,0.03600000,1800000000000,18000.00000000
2,1000001,1500000,500000,3240000,0.03240000,1620000000000,16200.00000000
3,1500001,2000000,500000,2916000,0.02916000,1458000000000,14580.00000000
4,2000001,2500000,500000,2624400,0.02624400,1312200000000,13122.00000000
5,2500001,3000000,500000,2361960,0.02361960,1180980000000,11809.80000000
6,3000001,3500000,500000,2125764,0.02125764,1062882000000,10628.82000000
7,3500001,4000000,500000,1913187,0.01913187,956593500000,9565.93500000
8,4000001,4500000,500000,1721868,0.01721868,860934000000,8609.34000000
9,4500001,5000000,500000,1549681,0.01549681,774840500000,7748.40500000
10,5000001,5500000,500000,1394712,0.01394712,697356000000,6973.56000000
11,5500001,6000000,500000,1255240,0.01255240,627620000000,6276.20000000
12,6000001,6500000,500000,1129716,0.01129716,564858000000,5648.58000000
13,6500001,7000000,500000,1016744,0.01016744,508372000000,5083.72000000
14,7000001,7500000,500000,915069,0.00915069,457534500000,4575.34500000
15,7500001,8000000,500000,823562,0.00823562,411781000000,4117.81000000
16,8000001,8500000,500000,741205,0.00741205,370602500000,3706.02500000
17,8500001,9000000,500000,667084,0.00667084,333542000000,3335.42000000
18,9000001,9500000,500000,600375,0.00600375,300187500000,3001.87500000
19,9500001,10000000,500000,540337,0.00540337,270168500000,2701.68500000
20,10000001,10500000,500000,486303,0.00486303,243151500000,2431.51500000
21,10500001,11000000,500000,437672,0.00437672,218836000000,2188.36000000
22,11000001,11500000,500000,393904,0.00393904,196952000000,1969.52000000
23,11500001,12000000,500000,354513,0.00354513,177256500000,1772.56500000
24,12000001,12500000,500000,319061,0.00319061,159530500000,1595.30500000
25,12500001,13000000,500000,287154,0.00287154,143577000000,1435.77000000
26,13000001,13500000,500000,258438,0.00258438,129219000000,1292.19000000
27,13500001,14000000,500000,232594,0.00232594,116297000000,1162.97000000
28,14000001,14500000,500000,209334,0.00209334,104667000000,1046.67000000
29,14500001,15000000,500000,188400,0.00188400,94200000000,942.00000000
30,15000001,15500000,500000,169560,0.00169560,84780000000,847.80000000
31,15500001,16000000,500000,152604,0.00152604,76302000000,763.02000000
32,16000001,16500000,500000,137343,0.00137343,68671500000,686.71500000
33,16500001,17000000,500000,123608,0.00123608,61804000000,618.04000000
34,17000001,17500000,500000,111247,0.00111247,55623500000,556.23500000
35,17500001,18000000,500000,100122,0.00100122,50061000000,500.61000000
36,18000001,18500000,500000,90109,0.00090109,45054500000,450.54500000
37,18500001,19000000,500000,81098,0.00081098,40549000000,405.49000000
38,19000001,19500000,500000,72988,0.00072988,36494000000,364.94000000
39,19500001,20000000,500000,65689,0.00065689,32844500000,328.44500000
40,20000001,20500000,500000,59120,0.00059120,29560000000,295.60000000
41,20500001,21000000,500000,53208,0.00053208,26604000000,266.04000000
42,21000001,21500000,500000,47887,0.00047887,23943500000,239.43500000
43,21500001,22000000,500000,43098,0.00043098,21549000000,215.49000000
44,22000001,22500000,500000,38788,0.00038788,19394000000,193.94000000
45,22500001,23000000,500000,34909,0.00034909,17454500000,174.54500000
46,23000001,23500000,500000,31418,0.00031418,15709000000,157.09000000
47,23500001,24000000,500000,28276,0.00028276,14138000000,141.38000000
48,24000001,24500000,500000,25448,0.00025448,12724000000,127.24000000
49,24500001,25000000,500000,22903,0.00022903,11451500000,114.51500000
50,25000001,25500000,500000,20612,0.00020612,10306000000,103.06000000
51,25500001,26000000,500000,18550,0.00018550,9275000000,92.75000000
52,26000001,26500000,500000,16695,0.00016695,8347500000,83.47500000
53,26500001,27000000,500000,15025,0.00015025,7512500000,75.12500000
54,27000001,27500000,500000,13522,0.00013522,6761000000,67.61000000
55,27500001,28000000,500000,12169,0.00012169,6084500000,60.84500000
56,28000001,28500000,500000,10952,0.00010952,5476000000,54.76000000
57,28500001,29000000,500000,9856,0.00009856,4928000000,49.28000000
58,29000001,29500000,500000,8870,0.00008870,4435000000,44.35000000
59,29500001,30000000,500000,7983,0.00007983,3991500000,39.91500000
60,30000001,30500000,500000,7184,0.00007184,3592000000,35.92000000
61,30500001,31000000,500000,6465,0.00006465,3232500000,32.32500000
62,31000001,31500000,500000,5818,0.00005818,2909000000,29.09000000
